latitude,longitude,iceberg_risk,risk_class,iceberg_count
-46.250713,32.663,0.0,0,0
-45.982613,33.25735,0.0,0,0
-45.710842,33.84387,0.0,0,0
-45.435387,34.422348,0.0,0,0
-45.156445,34.99299,0.0,0,0
-44.874077,35.55577,0.0,0,0
-44.588398,36.110733,0.0,0,0
-44.299534,36.658028,0.0,0,0
-44.007538,37.19755,0.0,0,0
-43.712605,37.72961,0.0,0,0
-43.414703,38.253963,0.0,0,0
-43.11409,38.77106,0.0,0,0
-42.81069,39.280533,0.0,0,0
-42.504784,39.78296,0.0,0,0
-42.196274,40.27788,0.0,0,0
-41.88543,40.765896,0.0,0,0
-41.572205,41.24666,0.0,0,0
-41.256798,41.720604,0.0,0,0
-40.93921,42.18754,0.0,0,0
-40.61959,42.647766,0.0,0,0
-40.297985,43.101227,0.0,0,0
-40.659283,-43.54763,0.0,0,0
-40.984493,-43.093697,0.0,0,0
-41.307743,-42.632877,0.0,0,0
-41.628975,-42.165226,0.0,0,0
-41.94805,-41.690437,0.0,0,0
-42.26496,-41.208694,0.0,0,0
-42.5795,-40.719547,0.0,0,0
-42.891724,-40.22335,0.0,0,0
-43.201355,-39.719498,0.0,0,0
-43.5085,-39.208443,0.0,0,0
-43.81286,-38.689583,0.0,0,0
-44.114517,-38.16331,0.0,0,0
-44.41322,-37.62915,0.0,0,0
-44.708984,-37.087345,0.0,0,0
-45.001617,-36.537575,0.0,0,0
-45.291077,-35.979942,0.0,0,0
-45.577217,-35.414295,0.0,0,0
-45.859932,-34.840576,0.0,0,0
-46.139145,-34.258804,0.0,0,0
-46.414677,-33.668774,0.0,0,0
-46.686523,-33.07069,0.0,0,0
-46.95442,-32.464165,0.0,0,0
-47.21844,-31.849602,0.0,0,0
-47.478226,-31.22646,0.0,0,0
-47.73395,-30.595291,0.0,0,0
-47.985172,-29.955467,0.0,0,0
-48.232094,-29.30759,0.0,0,0
-48.47431,-28.651142,0.0,0,0
-48.711945,-27.986568,0.0,0,0
-48.944683,-27.313553,0.0,0,0
-49.172546,-26.632378,0.0,0,0
-49.39532,-25.94292,0.0,0,0
-49.61293,-25.24532,0.0,0,0
-49.825256,-24.539637,0.0,0,0
-50.032127,-23.825869,0.0,0,0
-50.23354,-23.104263,0.0,0,0
-50.4292,-22.374676,0.0,0,0
-50.619225,-21.637547,0.0,0,0
-50.803192,-20.892593,0.0,0,0
-50.98137,-20.140427,0.0,0,0
-51.15319,-19.380665,0.0,0,0
-51.31902,-18.61401,0.0,0,0
-51.478302,-17.840149,0.0,0,0
-51.631332,-17.059696,0.0,0,0
-51.777664,-16.27251,0.0,0,0
-51.91748,-15.479076,0.0,0,0
-52.050476,-14.679434,0.0,0,0
-52.17668,-13.873947,0.0,0,0
-52.29595,-13.062816,0.0,0,0
-52.408195,-12.246307,0.0,0,0
-52.5134,-11.424755,0.0,0,0
-52.611343,-10.598355,0.0,0,0
-52.70217,-9.76755,0.0,0,0
-52.785522,-8.932482,0.0,0,0
-52.86171,-8.0936775,0.0,0,0
-52.93021,-7.2512503,0.0,0,0
-52.99149,-6.4057727,0.0,0,0
-53.044952,-5.557377,0.0,0,0
-53.091087,-4.7066126,0.0,0,0
-53.129395,-3.8537054,0.0,0,0
-53.160233,-2.9991248,0.0,0,0
-53.18326,-2.1431832,0.0,0,0
-53.198708,-1.2862961,0.0,0,0
-53.20639,-0.4288294,0.0,0,0
-53.20639,0.4288294,0.0,0,0
-53.198708,1.2862961,0.0,0,0
-53.18326,2.1431832,0.0,0,0
-53.160233,2.9991248,0.0,0,0
-53.129395,3.8537054,0.0,0,0
-53.091087,4.7066126,0.0,0,0
-53.044952,5.557377,0.0,0,0
-52.99149,6.4057727,0.0,0,0
-52.93021,7.2512503,0.0,0,0
-52.86171,8.0936775,0.0,0,0
-52.785522,8.932482,0.0,0,0
-52.70217,9.76755,0.0,0,0
-52.611343,10.598355,0.0,0,0
-52.5134,11.424755,0.0,0,0
-52.408195,12.246307,0.0,0,0
-52.29595,13.062816,0.0,0,0
-52.17668,13.873947,0.0,0,0
-52.050476,14.679434,0.0,0,0
-51.91748,15.479076,0.0,0,0
-51.777664,16.27251,0.0,0,0
-51.631332,17.059696,0.0,0,0
-51.478302,17.840149,0.0,0,0
-51.31902,18.61401,0.0,0,0
-51.15319,19.380665,0.0,0,0
-50.98137,20.140427,0.0,0,0
-50.803192,20.892593,0.0,0,0
-50.619225,21.637547,0.0,0,0
-50.4292,22.374676,0.0,0,0
-50.23354,23.104263,0.0,0,0
-50.032127,23.825869,0.0,0,0
-49.825256,24.539637,0.0,0,0
-49.61293,25.24532,0.0,0,0
-49.39532,25.94292,0.0,0,0
-49.172546,26.632378,0.0,0,0
-48.944683,27.313553,0.0,0,0
-48.711945,27.986568,0.0,0,0
-48.47431,28.651142,0.0,0,0
-48.232094,29.30759,0.0,0,0
-47.985172,29.955467,0.0,0,0
-47.73395,30.595291,0.0,0,0
-47.478226,31.22646,0.0,0,0
-47.21844,31.849602,0.0,0,0
-46.95442,32.464165,0.0,0,0
-46.686523,33.07069,0.0,0,0
-46.414677,33.668774,0.0,0,0
-46.139145,34.258804,0.0,0,0
-45.859932,34.840576,0.0,0,0
-45.577217,35.414295,0.0,0,0
-45.291077,35.979942,0.0,0,0
-45.001617,36.537575,0.0,0,0
-44.708984,37.087345,0.0,0,0
-44.41322,37.62915,0.0,0,0
-44.114517,38.16331,0.0,0,0
-43.81286,38.689583,0.0,0,0
-43.5085,39.208443,0.0,0,0
-43.201355,39.719498,0.0,0,0
-42.891724,40.22335,0.0,0,0
-42.5795,40.719547,0.0,0,0
-42.26496,41.208694,0.0,0,0
-41.94805,41.690437,0.0,0,0
-41.628975,42.165226,0.0,0,0
-41.307743,42.632877,0.0,0,0
-40.984493,43.093697,0.0,0,0
-40.659283,43.54763,0.0,0,0
-41.018936,-44.001278,0.0,0,0
-41.34779,-43.54698,0.0,0,0
-41.674698,-43.085682,0.0,0,0
-41.999615,-42.617413,0.0,0,0
-42.322388,-42.141872,0.0,0,0
-42.643017,-41.659245,0.0,0,0
-42.961292,-41.169067,0.0,0,0
-43.27727,-40.671696,0.0,0,0
-43.590668,-40.166504,0.0,0,0
-43.901592,-39.653957,0.0,0,0
-44.20975,-39.133427,0.0,0,0
-44.51521,-38.60532,0.0,0,0
-44.817722,-38.069134,0.0,0,0
-45.117306,-37.525124,0.0,0,0
-45.41377,-36.972958,0.0,0,0
-45.707043,-36.412724,0.0,0,0
-45.997017,-35.844273,0.0,0,0
-46.283558,-35.267536,0.0,0,0
-46.566597,-34.682533,0.0,0,0
-46.84594,-34.08904,0.0,0,0
-47.1216,-33.487263,0.0,0,0
-47.393284,-32.876812,0.0,0,0
-47.661083,-32.25807,0.0,0,0
-47.924644,-31.6305,0.0,0,0
-48.184113,-30.994656,0.0,0,0
-48.43906,-30.349888,0.0,0,0
-48.689674,-29.696802,0.0,0,0
-48.935566,-29.034864,0.0,0,0
-49.17683,-28.364536,0.0,0,0
-49.413166,-27.685474,0.0,0,0
-49.64459,-26.997976,0.0,0,0
-49.87088,-26.301897,0.0,0,0
-50.091957,-25.597385,0.0,0,0
-50.307705,-24.884499,0.0,0,0
-50.517937,-24.163223,0.0,0,0
-50.722656,-23.433817,0.0,0,0
-50.921555,-22.696123,0.0,0,0
-51.11475,-21.950586,0.0,0,0
-51.301823,-21.196926,0.0,0,0
-51.483025,-20.435757,0.0,0,0
-51.657795,-19.666685,0.0,0,0
-51.826485,-18.890432,0.0,0,0
-51.98855,-18.106674,0.0,0,0
-52.14426,-17.316046,0.0,0,0
-52.293182,-16.518396,0.0,0,0
-52.435486,-15.714228,0.0,0,0
-52.570858,-14.903576,0.0,0,0
-52.699345,-14.0868225,0.0,0,0
-52.820778,-13.264171,0.0,0,0
-52.935066,-12.435899,0.0,0,0
-53.042206,-11.602353,0.0,0,0
-53.141953,-10.763735,0.0,0,0
-53.234467,-9.92051,0.0,0,0
-53.31937,-9.07282,0.0,0,0
-53.396973,-8.22122,0.0,0,0
-53.46676,-7.365824,0.0,0,0
-53.529198,-6.5072336,0.0,0,0
-53.583668,-5.6455846,0.0,0,0
-53.630672,-4.7814536,0.0,0,0
