id,observations,start,end,duration_days,lat_min,lat_max,lon_min,lon_max
b34,765,2015-03-03,2017-04-05,764,-76.0167,0.0,-179.9833,179.9538
b35,869,2015-08-14,2017-12-29,868,-74.62,0.0,-110.0333,0.0
b36,36,2015-08-28,2015-10-02,35,-74.95,-74.6167,-104.7,-103.0
b37,2262,2016-01-01,2022-03-11,2261,-74.6,0.0,-113.86,0.0
b38,2793,2016-01-01,2023-08-25,2793,-77.02,0.0,-155.28,0.0
b39,2789,2016-01-01,2023-08-25,2793,-77.8,0.0,-54.55,147.9667
b40,2283,2016-01-01,2022-04-06,2287,-65.9167,0.0,0.0,148.6333
b41,1562,2016-09-09,2020-12-23,1566,-75.8833,0.0,-150.5333,0.0
b42,2038,2017-04-07,2022-11-04,2037,-74.53,0.0,-152.83,0.0
b43,1246,2017-04-07,2020-09-03,1245,-76.6,0.0,-179.2167,0.0
b44,21,2017-09-29,2017-10-23,24,-74.9667,0.0,-101.1667,0.0
b45,2316,2018-08-03,2025-03-06,2407,-74.7167,0.0,-121.77,0.0
b46,1755,2018-10-28,2023-08-25,1762,-75.09,0.0,-160.4,0.0
b47,2203,2019-09-20,2025-11-19,2252,-75.64,0.0,-159.7,0.0
b48,124,2020-02-07,2020-06-09,123,-74.1833,0.0,-117.0333,0.0
b49,219,2020-02-14,2020-09-19,218,-74.9167,0.0,-105.55,0.0
b50,888,2020-04-13,2022-09-17,887,-75.84,0.0,-167.67,0.0
c01,23,1979-09-02,1982-12-05,1190,-65.6,-65.2,111.6,112.5
c02,226,1978-07-23,1990-02-04,4214,-64.97,0.0,0.0,130.8913
c03,2,1983-01-23,1983-02-27,35,-67.4,-67.4,147.6,147.6
c05,194,1986-03-16,1995-10-29,3514,-67.0,-64.3,52.5,99.1
c06,795,1987-06-14,1993-11-17,2348,-65.8,0.0,0.0,141.3
c07,274,1988-03-13,1992-10-11,1673,-74.6,0.0,-56.25,79.2
c08,4973,1996-01-07,2009-11-22,5068,-74.53,0.0,-57.17,147.55
c09,2228,1996-04-07,2004-12-08,3167,-67.1,0.0,0.0,147.6
c10,5223,1992-03-25,2006-07-13,5223,-64.7,0.0,0.0,99.1
c11,1582,1997-03-02,2001-07-23,1604,-64.8,0.0,0.0,96.5
c12,1595,1997-03-02,2001-07-23,1604,-64.7,0.0,0.0,97.1
